9123 224
81 84 71
85 68 68
64 81 71
65 63 84
84 75 85
86 90 76
90 88 64
73 60 67
89 88 84
68 67 66
68 80 61
74 65 68
80 71 70
75 71 85
70 70 86
90 73 63
75 84 78
60 90 81
72 71 60
79 74 68
80 82 81
81 83 73
78 72 60
73 63 63
88 90 70
83 77 79
85 69 88
71 85 73
82 88 74
71 76 69
70 83 81
70 79 67
90 61 81
82 85 73
68 69 74
63 66 76
61 74 86
87 76 79
67 61 75
66 71 82
80 78 86
80 62 82
67 84 74
70 81 81
67 74 78
79 81 68
72 86 75
75 61 75
71 90 76
82 69 70
74 63 83
76 77 79
68 87 78
86 83 74
79 72 70
73 88 67
63 79 64
62 90 63
90 78 68
86 74 89
74 79 68
72 77 79
87 76 87
68 79 75
85 80 72
76 69 78
69 63 64
89 84 67
60 68 61
86 82 79
80 65 74
65 90 90
90 67 79
81 86 77
78 83 89
88 64 66
76 65 80
72 78 85
76 77 78
80 67 87
81 88 77
71 72 86
66 80 61
62 79 72
82 68 69
81 62 88
80 74 88
71 74 89
64 89 71
69 87 83
86 83 88
70 66 60
81 68 84
81 67 70
67 82 64
68 80 85
85 61 68
65 60 63
82 60 87
64 84 74
73 82 64
64 80 82
68 60 67
78 90 71
86 88 90
89 70 60
82 72 67
77 75 72
74 64 87
82 82 67
65 86 83
72 67 78
90 64 77
85 82 87
82 79 64
80 62 84
86 65 77
77 79 69
60 87 82
61 65 80
70 65 67
84 81 63
89 75 70
72 70 64
90 66 79
75 90 69
70 88 76
78 90 64
80 75 86
68 82 62
76 63 89
70 81 75
71 71 89
60 72 63
84 69 78
75 89 78
65 79 68
63 77 64
76 86 68
84 80 73
79 64 64
66 77 79
88 82 69
61 81 76
65 67 63
79 62 70
82 81 79
65 82 61
66 82 62
62 85 60
74 72 63
87 87 60
61 69 63
68 82 67
90 88 81
72 79 89
79 62 70
86 76 67
74 74 83
69 67 87
88 71 82
72 65 69
85 89 62
63 70 67
69 74 70
61 83 67
62 77 60
66 69 75
80 81 75
68 65 89
68 83 71
80 79 71
76 90 73
88 60 70
70 65 68
65 70 83
67 68 60
67 73 68
84 84 82
77 73 60
89 65 61
80 71 87
77 63 72
89 71 72
67 81 85
75 88 83
67 71 80
72 76 68
67 66 84
84 80 64
69 75 73
68 62 79
69 89 62
62 60 80
65 86 82
85 61 89
87 87 79
64 64 86
76 77 79
75 78 84
87 79 79
68 82 78
90 66 61
75 66 81
88 73 81
60 76 90
79 70 69
80 63 73
75 65 90
81 70 89
77 65 90
67 75 84
79 60 64
70 83 73
80 63 70
75 64 79
78 66 84
89 81 76
80 83 68
74 75 71
79 90 79
85 81 60
74 65 75
79 86 88
80 84 83
81 87 83
70 79 83
63 66 87
72 62 69
84 73 84
64 75 69
82 84 88
64 88 65
87 74 90
60 86 74
73 60 74
68 83 74
73 62 64
90 77 87
67 90 77
67 65 62
66 89 68
76 63 78
76 81 75
61 66 60
64 66 77
63 89 74
86 71 86
73 74 74
77 77 70
63 65 87
79 79 70
74 89 74
81 87 90
68 61 64
64 60 64
73 76 73
68 84 71
84 78 63
75 64 75
69 75 83
79 64 74
76 85 70
64 66 85
69 60 87
60 63 86
71 81 71
61 65 86
65 64 60
82 85 80
82 63 60
70 63 87
79 69 71
64 60 60
89 73 70
78 73 72
61 76 68
90 71 64
69 62 70
62 90 70
62 65 86
73 73 76
78 63 66
68 71 79
88 78 64
71 88 78
78 75 80
62 72 69
85 77 81
81 89 66
87 78 61
84 88 74
60 73 90
83 85 65
73 69 74
70 66 62
62 66 73
61 78 63
75 78 79
89 84 85
76 68 67
86 64 67
85 71 67
65 78 86
64 75 85
90 76 70
82 62 65
78 83 90
79 89 80
75 62 70
72 84 84
77 73 71
76 62 63
70 64 90
64 81 88
65 84 73
85 71 89
88 88 61
85 61 87
64 74 70
65 60 60
64 87 65
68 90 89
77 74 75
84 85 70
80 67 77
71 71 85
89 87 69
78 71 79
78 89 81
75 87 68
76 74 71
66 62 90
85 80 65
75 77 90
83 79 78
71 61 76
67 69 60
90 75 70
78 86 79
61 66 89
68 72 75
65 60 81
75 89 85
77 75 76
72 63 90
75 60 73
67 76 78
84 89 62
88 76 79
78 82 72
89 68 68
77 63 89
80 74 90
82 74 85
61 75 60
78 83 87
81 74 76
77 85 83
77 78 74
60 86 65
80 66 86
73 85 61
80 76 64
75 75 60
60 68 65
85 62 78
67 72 83
70 82 84
90 67 83
83 79 65
88 64 86
72 66 60
79 73 76
72 77 60
72 89 76
90 80 86
78 79 69
86 77 77
66 72 73
89 77 67
60 84 78
76 74 78
84 64 79
60 62 79
87 90 84
88 76 66
68 72 82
66 82 61
67 60 66
79 79 74
67 64 75
73 84 72
66 73 80
90 67 67
70 76 65
62 78 67
85 78 86
61 65 73
70 87 73
77 61 73
73 87 86
74 89 68
71 72 71
71 60 66
69 88 61
73 88 61
74 88 61
85 72 75
61 67 81
67 70 74
86 72 63
74 73 67
60 68 86
72 84 83
77 72 73
78 75 79
63 78 82
89 73 84
81 62 82
71 84 87
78 87 89
64 71 78
86 63 81
90 84 75
82 75 78
86 86 87
62 62 63
70 89 90
71 78 72
77 61 73
64 88 73
72 80 89
72 67 68
76 78 89
70 64 80
90 77 90
62 62 89
66 70 86
81 63 63
62 76 85
74 87 61
87 89 88
90 88 81
90 78 82
89 64 62
89 87 67
74 85 89
83 80 65
80 79 82
73 60 73
74 76 89
79 64 80
64 77 82
60 65 68
69 62 67
88 74 64
67 90 86
89 68 86
68 75 70
89 73 89
63 61 86
67 89 62
64 81 78
70 70 62
67 75 75
61 85 72
80 77 71
73 67 69
83 85 81
61 65 61
86 80 72
72 89 71
79 63 77
78 68 60
78 89 69
85 68 90
73 69 87
67 79 80
62 82 88
67 79 78
75 64 66
79 64 71
77 60 81
60 70 86
65 80 68
81 82 87
68 63 85
80 67 63
63 78 86
70 65 73
63 79 72
64 73 85
87 67 78
83 62 76
71 73 90
87 69 84
90 66 72
63 60 82
90 73 63
64 71 62
78 89 71
80 77 69
64 77 73
70 90 86
61 61 71
71 79 70
62 70 64
60 89 88
60 89 80
79 75 70
74 65 82
86 72 63
69 84 72
71 74 80
62 85 66
61 74 73
86 60 81
83 62 71
69 66 83
72 65 75
67 83 69
67 83 71
61 65 63
90 60 90
71 78 79
82 65 77
79 89 61
78 77 73
79 61 61
65 72 61
85 62 77
84 73 85
68 60 84
69 79 90
68 75 67
75 75 89
73 70 61
82 77 64
82 60 71
82 66 65
84 73 87
89 86 77
74 77 77
89 71 65
83 89 61
86 76 66
88 72 68
63 89 70
90 71 61
65 82 70
75 87 74
63 65 74
90 85 74
72 64 79
62 71 77
81 74 78
73 62 77
83 65 85
74 90 82
88 64 77
75 81 81
89 69 63
84 88 72
65 86 89
82 90 69
88 87 75
78 90 64
72 74 85
90 82 62
77 88 61
82 77 71
76 64 70
70 80 70
63 83 60
69 76 81
60 67 65
77 79 64
60 66 69
63 89 64
62 69 66
87 61 68
67 85 60
88 85 60
71 86 76
89 74 69
67 72 81
82 67 65
77 83 63
64 63 65
74 76 88
60 79 64
89 73 74
75 73 68
77 85 73
61 85 74
86 83 79
73 80 81
71 68 66
80 85 61
76 75 70
62 63 76
81 88 60
66 89 71
61 63 65
61 90 64
64 82 69
83 71 81
77 81 82
75 65 73
72 68 65
85 63 78
69 72 86
90 83 60
89 81 74
84 75 88
60 83 87
73 76 62
82 84 60
75 69 75
81 86 68
80 79 68
68 63 71
74 90 72
78 66 81
83 87 65
61 64 66
61 82 85
60 64 67
87 66 70
72 86 74
77 90 82
86 66 85
90 60 81
81 81 75
61 62 81
82 71 78
88 85 62
79 77 82
72 77 66
81 62 90
74 63 64
69 71 77
81 75 78
71 67 85
77 87 89
65 87 82
78 73 69
87 75 73
75 66 80
84 72 85
89 71 69
75 76 68
83 78 67
74 72 67
78 72 80
77 72 73
72 73 63
88 60 71
62 66 69
87 67 85
83 88 70
88 64 73
83 61 87
79 81 83
70 72 76
86 72 80
77 80 85
82 84 85
78 85 82
70 66 63
83 78 83
69 61 84
87 85 68
85 84 60
83 75 90
74 76 65
60 75 71
77 70 77
82 60 75
63 82 90
68 71 82
72 60 77
85 60 88
82 88 83
66 80 88
86 80 66
66 64 70
63 74 69
66 67 64
82 89 68
65 67 76
85 70 77
80 78 60
70 60 83
84 63 86
71 76 78
86 60 89
78 63 62
90 88 68
77 82 77
83 85 80
90 71 79
64 61 78
88 65 72
75 70 62
86 70 75
60 62 70
63 73 79
72 61 61
65 73 68
64 80 89
60 86 65
70 76 79
83 87 62
67 89 67
64 70 63
74 61 88
81 61 80
71 68 84
60 75 88
67 63 88
85 77 68
60 81 68
67 77 67
89 85 86
89 70 73
68 78 63
77 86 64
64 69 64
80 88 72
75 84 88
80 83 84
80 90 79
81 90 64
68 66 60
60 80 62
82 83 81
83 81 73
63 82 66
60 65 89
74 82 82
64 62 64
89 71 60
65 64 71
70 70 64
82 68 78
74 72 67
65 70 68
75 65 67
77 69 65
76 79 75
88 62 60
61 72 83
65 86 87
82 62 87
61 72 61
85 88 77
77 85 73
81 86 85
80 75 87
82 63 78
84 62 65
67 71 62
69 76 85
85 60 62
76 69 73
86 75 60
79 81 75
65 86 67
87 70 68
86 89 65
79 72 62
72 78 68
65 69 65
77 72 85
67 73 90
83 86 73
69 61 81
61 62 75
73 69 64
60 66 81
71 90 70
60 65 90
83 77 84
81 70 78
60 86 70
77 74 65
88 74 72
85 86 82
62 73 69
69 88 66
77 84 74
62 89 82
76 61 90
69 85 90
70 65 81
66 65 72
62 68 85
62 88 75
73 66 79
63 75 70
64 76 68
64 77 66
81 69 87
86 60 77
65 65 62
63 68 81
74 62 83
62 72 82
87 65 82
74 74 77
85 67 73
61 67 70
78 82 76
90 71 80
88 88 62
85 62 72
87 74 86
80 75 66
73 71 68
80 85 84
80 72 82
88 69 86
76 90 86
84 87 60
60 78 71
83 90 76
62 88 76
60 69 70
77 65 81
87 88 69
67 85 90
73 61 72
83 83 79
66 74 66
83 89 73
67 82 80
90 71 73
88 87 77
88 70 86
60 80 89
74 85 67
71 61 82
79 60 76
76 78 75
81 88 61
64 87 84
67 77 69
62 70 60
68 76 60
71 78 70
71 63 89
67 63 78
87 85 88
88 84 85
64 65 60
67 60 61
84 67 79
72 78 81
84 70 60
88 67 79
88 65 89
86 83 77
61 90 73
73 74 74
66 87 89
83 73 79
78 85 66
71 87 89
77 77 78
86 71 79
75 83 60
72 70 78
89 70 60
79 83 87
75 88 70
85 78 69
60 71 64
66 90 81
87 68 77
61 70 68
66 63 72
86 61 80
74 84 64
72 90 89
78 82 83
74 80 89
61 74 79
76 60 75
70 62 88
63 78 67
73 81 78
68 71 84
86 81 70
76 66 62
84 69 90
87 88 65
81 62 68
71 62 60
73 90 78
77 86 88
71 66 60
78 78 73
87 73 78
67 74 77
87 89 62
73 63 89
75 75 68
74 89 62
63 73 80
83 89 76
87 79 61
66 76 89
83 69 69
80 78 82
90 61 69
77 63 80
62 74 86
68 84 77
62 74 84
88 67 74
67 85 75
86 62 78
73 88 75
79 73 82
82 65 61
71 77 82
88 77 62
85 84 82
61 69 88
76 75 72
73 69 87
89 89 86
60 88 71
72 87 76
67 60 80
81 83 69
76 80 87
67 67 76
60 90 61
80 61 65
80 68 80
64 78 86
84 84 70
66 70 74
70 81 77
88 82 84
89 60 70
64 76 68
89 86 63
84 78 79
73 73 84
80 81 78
77 63 76
87 63 81
70 90 88
64 88 61
65 74 85
66 70 62
82 67 82
76 65 63
90 60 80
77 62 86
62 86 83
80 90 84
63 71 84
67 89 77
83 64 63
67 80 80
66 77 72
76 61 73
82 85 83
84 75 77
74 70 82
74 74 78
88 83 88
79 64 63
78 61 73
81 62 75
76 63 76
68 76 84
74 88 89
60 79 75
64 80 60
63 87 72
80 86 68
63 68 60
84 75 61
68 60 80
74 64 68
84 86 85
85 66 83
75 85 88
85 67 86
70 83 64
73 77 80
90 79 60
67 76 90
60 82 82
83 85 90
79 60 83
75 88 66
75 65 70
83 74 80
76 67 67
68 81 63
81 71 69
67 63 65
67 79 71
88 64 74
75 70 80
88 78 76
69 78 79
78 64 84
88 78 73
73 67 64
78 84 65
79 85 75
78 60 80
88 65 87
83 73 71
90 71 79
83 80 76
85 73 61
70 68 68
72 80 67
65 78 75
61 80 82
65 89 70
69 90 72
76 81 84
61 89 88
79 75 76
71 86 86
83 74 62
70 68 84
67 76 86
65 75 70
66 68 73
66 66 76
87 74 69
78 72 80
79 68 62
65 79 76
78 65 66
69 69 75
72 62 78
82 67 66
67 74 62
80 83 68
64 75 68
65 83 62
69 62 87
69 60 69
88 72 67
86 68 72
68 75 75
81 64 63
76 68 76
77 69 85
86 78 86
85 64 85
73 63 78
66 73 81
76 90 60
78 78 74
87 75 62
89 72 63
62 77 61
82 72 81
82 76 88
89 77 74
90 86 69
84 62 61
89 77 68
71 86 85
64 69 70
73 79 77
79 86 88
61 62 76
89 75 65
63 62 80
90 81 70
65 75 84
67 68 66
77 71 81
79 85 69
78 75 60
71 77 81
60 87 71
81 68 78
69 88 90
70 76 74
83 60 63
87 78 83
83 90 82
77 80 73
77 87 89
75 75 78
62 63 64
88 60 86
79 65 82
77 77 73
79 80 84
81 70 75
89 77 79
76 75 72
64 68 83
67 81 82
73 63 88
68 66 82
65 66 85
76 62 82
81 88 62
78 84 70
89 61 80
62 72 81
85 73 67
77 74 70
90 84 64
65 89 80
71 72 78
69 70 76
71 68 86
65 80 83
71 68 89
60 76 65
76 64 77
78 87 83
90 79 81
69 90 70
68 82 86
60 69 83
82 83 61
62 85 77
89 89 89
65 66 69
79 82 76
70 66 82
88 78 81
69 79 86
73 83 61
70 64 74
73 62 75
62 86 77
87 60 67
87 68 87
86 84 88
67 71 67
82 61 65
65 87 75
85 66 82
64 79 81
85 69 81
76 75 75
79 61 62
85 74 76
89 81 66
75 87 64
79 78 69
72 63 74
87 80 67
66 76 72
69 80 80
69 83 90
76 86 83
70 89 66
78 62 81
74 60 68
89 60 90
89 84 89
62 67 66
82 60 62
87 63 74
84 72 67
77 85 76
76 75 87
84 60 81
86 87 67
80 74 66
82 74 78
60 78 80
76 78 74
89 75 67
66 64 64
75 86 74
77 65 66
76 80 86
61 88 79
66 87 80
63 82 60
71 83 79
67 68 70
75 63 64
83 66 85
64 64 80
63 78 61
75 89 70
83 83 62
70 60 74
69 62 78
66 88 73
60 70 75
67 64 77
64 81 78
68 89 78
69 64 78
77 62 81
78 69 73
90 66 82
61 68 78
87 77 82
61 61 74
85 66 72
63 88 75
87 76 78
68 70 79
61 70 79
60 63 74
77 68 76
88 72 70
83 75 61
80 72 86
90 83 73
62 77 85
60 64 84
88 64 80
83 75 81
89 60 71
66 61 66
70 71 61
69 88 71
61 71 89
71 60 88
81 77 70
78 89 62
75 71 86
79 72 66
85 73 60
90 82 60
83 65 75
83 75 74
86 69 85
71 90 87
61 84 60
85 60 80
80 73 75
78 84 78
68 70 65
68 65 77
83 76 70
80 71 63
79 72 65
69 62 72
74 90 72
76 72 72
70 73 84
86 74 88
68 90 80
82 81 63
71 69 68
89 76 66
67 68 82
72 83 61
62 83 82
73 81 78
73 76 89
75 68 73
80 85 75
75 71 87
62 71 69
69 63 73
62 88 81
72 69 73
69 60 68
87 75 76
69 87 64
84 71 69
83 85 69
90 63 67
64 76 86
68 88 78
84 81 64
70 68 76
64 76 68
74 77 88
72 88 85
64 84 73
62 87 76
62 86 81
60 70 70
67 67 61
86 63 90
65 77 60
60 76 84
79 64 71
87 84 83
79 85 90
81 63 61
61 90 62
86 77 74
69 86 60
70 78 83
64 62 60
66 78 77
70 85 74
69 62 81
73 77 65
82 74 78
67 62 72
87 69 70
85 74 80
80 78 83
74 70 78
86 73 81
60 88 61
76 79 87
85 76 86
76 85 87
72 69 69
89 74 62
77 81 81
69 78 90
79 68 68
72 65 70
70 65 82
75 90 74
82 64 87
90 63 71
87 75 62
61 87 71
81 84 86
74 83 76
83 67 76
78 84 60
67 81 67
74 64 66
74 86 64
60 60 65
64 77 71
76 73 65
82 75 81
78 69 76
79 62 67
90 88 77
65 74 86
62 85 86
86 76 76
66 76 76
83 89 80
68 76 75
81 64 90
68 68 69
64 77 70
69 87 86
73 83 78
61 75 77
88 85 83
83 75 82
79 85 71
86 86 89
79 89 76
82 72 63
63 83 75
84 79 87
73 66 81
74 89 79
66 80 86
87 60 87
81 68 85
85 72 78
60 76 69
65 83 82
61 85 75
70 82 84
78 79 64
86 65 79
89 78 61
70 72 90
62 85 64
60 61 71
82 80 68
85 64 84
69 62 63
79 63 88
82 79 66
89 81 66
73 67 75
76 77 85
67 61 75
69 71 67
71 85 77
82 86 74
82 88 90
61 61 85
72 81 83
69 71 88
78 76 76
64 90 90
69 72 74
85 83 62
85 78 89
64 87 84
90 71 72
69 64 86
75 60 61
80 73 72
75 70 82
89 73 77
90 74 88
67 90 90
77 76 86
67 71 67
68 70 60
74 68 72
81 79 72
86 72 83
90 60 72
87 79 80
69 90 69
81 73 86
87 84 75
64 79 85
85 86 86
70 75 69
67 72 64
73 69 67
64 82 87
73 62 86
66 64 72
84 74 67
88 65 84
71 76 68
81 78 71
65 70 61
66 83 79
77 65 75
67 76 79
81 76 68
69 85 75
69 70 80
65 83 75
66 61 66
86 68 81
87 81 73
60 74 89
73 81 71
87 69 65
68 79 73
84 87 86
86 88 76
83 61 75
79 77 75
66 89 74
67 81 77
60 79 65
78 72 74
89 74 64
88 80 78
86 81 88
72 73 83
84 86 82
86 65 87
87 85 78
76 80 81
69 86 75
69 85 76
82 74 87
79 64 80
78 85 77
63 79 85
78 69 69
72 69 88
71 82 60
88 60 73
87 73 82
82 89 80
77 68 69
89 60 90
86 84 68
90 88 60
73 74 88
76 71 66
64 71 66
76 75 85
85 67 72
88 88 65
66 81 89
62 80 60
82 71 89
89 79 76
67 76 89
69 90 69
71 82 87
75 83 81
68 69 82
71 80 80
90 70 76
90 74 82
61 60 75
68 64 61
69 62 90
86 84 70
66 81 64
72 89 63
82 63 85
77 67 80
85 74 72
85 65 69
66 88 88
76 65 83
72 69 68
69 71 70
67 66 86
66 87 76
71 80 87
65 67 81
78 84 61
78 68 77
83 70 70
66 85 61
76 82 65
88 86 89
70 77 75
70 74 76
72 77 72
90 64 85
71 60 68
61 62 80
89 72 70
83 73 73
90 74 71
66 66 66
81 69 62
68 71 83
82 70 75
90 90 67
87 84 73
65 89 60
71 89 82
83 84 86
70 80 83
90 65 76
70 86 80
88 62 77
75 71 88
63 61 80
88 90 63
74 90 87
89 66 79
78 88 86
87 65 68
77 64 64
80 84 62
65 74 64
60 83 90
86 67 79
69 75 90
67 76 82
78 76 77
73 63 71
88 61 71
62 66 69
67 85 80
70 88 88
90 90 73
63 68 77
63 63 71
64 84 78
72 75 65
80 73 74
83 76 60
87 64 77
75 72 76
83 69 67
81 89 72
67 87 89
62 87 85
77 74 87
88 64 70
84 84 65
61 70 73
69 80 63
67 81 65
89 73 81
77 63 90
63 82 75
64 63 90
87 61 90
60 69 68
62 63 88
64 65 67
88 84 85
77 84 64
77 89 73
86 90 64
66 77 79
79 79 62
89 85 88
77 89 86
66 82 74
76 62 88
71 76 72
63 67 60
69 76 70
86 76 63
82 66 87
68 88 61
75 74 66
84 76 77
75 68 88
86 67 61
65 66 66
72 64 86
89 61 89
87 74 72
77 64 74
64 79 66
76 82 84
79 68 84
79 69 67
86 90 79
66 78 81
71 65 63
79 63 73
76 64 77
60 60 61
60 85 64
78 86 74
68 61 85
60 90 63
79 79 61
80 82 64
85 61 68
74 71 87
73 61 78
85 64 72
79 62 86
63 64 63
77 79 66
61 89 84
80 74 68
64 70 62
89 75 77
90 90 70
89 69 64
68 62 63
66 63 69
81 75 83
73 63 90
71 68 78
77 90 70
85 73 78
87 80 72
83 77 89
72 76 80
85 69 61
84 60 83
67 75 73
77 80 80
90 77 87
61 83 68
75 89 86
68 66 88
60 79 60
89 84 83
64 80 72
71 61 86
86 65 66
66 75 65
70 61 78
72 76 70
60 61 90
71 85 73
78 77 73
66 87 72
82 90 65
80 61 90
60 89 69
87 87 67
64 89 77
82 74 63
79 68 78
84 80 69
77 73 62
72 60 61
89 86 74
87 77 68
89 64 65
70 71 81
63 72 73
64 68 66
78 77 71
75 84 66
83 77 82
82 63 64
88 84 83
79 82 90
82 84 86
66 74 76
78 83 72
61 89 79
72 62 73
82 90 65
88 67 65
86 83 63
83 84 85
86 77 65
64 76 62
84 72 82
77 87 63
90 88 81
64 64 70
88 89 77
85 69 73
88 90 83
70 66 62
84 90 63
87 60 86
72 89 64
67 77 80
67 80 89
64 80 64
77 68 82
77 90 82
87 74 77
64 63 88
65 90 82
89 85 86
67 77 82
68 77 82
69 65 69
84 82 84
64 69 83
63 86 88
77 62 72
70 85 63
63 83 77
84 69 85
63 75 67
90 89 81
72 76 81
73 70 73
89 60 66
76 81 65
83 83 90
74 79 80
65 71 87
87 74 64
62 79 80
87 80 70
69 87 70
84 75 61
68 64 65
89 87 79
77 81 76
80 61 70
87 86 81
73 72 60
69 74 64
74 61 84
65 70 74
89 70 71
83 83 89
87 74 60
65 65 75
79 61 85
73 64 61
78 75 68
84 64 72
82 85 74
80 72 65
75 89 84
69 64 85
75 68 61
71 89 89
77 81 67
67 60 75
74 81 87
66 63 69
63 76 61
69 70 87
75 76 89
65 81 78
85 67 66
60 83 75
87 65 88
74 73 80
66 74 84
90 63 81
60 79 72
65 65 69
74 70 75
72 67 62
77 61 77
82 90 77
70 86 61
83 80 65
64 66 62
85 78 84
66 67 72
82 87 81
75 72 84
63 64 65
74 80 66
65 82 61
64 74 62
77 61 78
61 72 66
82 70 73
70 82 72
78 84 74
60 63 61
71 67 83
71 71 85
79 67 87
61 70 78
87 62 78
68 74 64
72 80 75
65 90 66
64 90 86
73 87 88
75 77 63
63 89 62
61 83 76
73 76 62
63 84 70
86 71 87
81 73 74
89 68 75
83 78 78
79 67 68
73 70 84
84 60 83
88 85 63
68 90 65
85 64 66
72 88 65
85 63 83
82 72 64
61 64 69
72 68 74
76 86 64
61 83 83
88 60 75
70 78 82
67 79 83
77 83 88
71 89 74
66 85 68
84 65 66
69 67 69
61 62 70
76 71 87
79 60 77
77 84 88
79 80 69
62 80 89
83 75 81
63 76 86
83 80 83
82 68 88
89 89 80
90 73 78
75 74 75
82 72 87
66 83 76
66 63 73
63 90 75
85 61 76
86 67 86
78 75 61
86 66 60
83 86 63
87 84 70
70 69 68
85 67 87
87 76 65
60 68 71
86 90 64
82 86 69
79 63 84
81 68 70
63 74 66
90 60 78
81 76 74
87 79 89
76 63 67
74 85 71
79 74 81
83 74 65
74 89 61
63 81 82
65 83 70
70 70 61
64 83 71
87 70 85
66 61 66
72 79 63
84 90 80
90 66 84
79 78 67
72 67 68
74 69 63
82 73 72
67 78 76
80 71 64
84 88 79
85 78 77
73 87 76
74 63 60
66 80 73
69 70 70
85 61 87
80 78 86
78 68 66
69 66 63
79 65 68
64 71 74
84 87 87
71 70 73
64 71 85
89 74 87
71 82 72
77 66 73
79 80 62
65 61 67
78 66 76
83 86 88
87 61 86
89 73 85
65 62 73
76 71 65
74 89 69
60 74 75
64 75 62
76 86 63
90 78 82
72 82 83
73 82 77
89 69 84
89 63 78
64 61 74
76 76 66
72 86 73
90 74 78
70 90 67
70 84 79
60 84 87
83 62 76
86 72 68
81 82 78
87 87 76
80 80 68
66 62 73
70 79 65
77 90 74
79 88 60
61 78 88
84 72 85
78 88 86
75 90 86
75 77 82
73 71 61
79 86 77
67 87 71
74 71 61
78 87 70
84 64 73
70 65 78
77 85 87
76 83 70
63 88 69
64 66 87
60 76 89
61 68 77
69 66 90
68 84 74
70 79 82
77 81 60
64 72 73
61 83 80
66 77 78
82 86 69
89 85 83
72 73 60
90 62 67
82 81 77
85 74 89
84 60 84
78 83 81
69 69 69
63 75 66
90 75 90
60 86 67
74 74 77
74 70 79
68 76 75
79 73 63
63 66 80
70 81 79
81 79 73
83 89 77
64 73 79
68 62 69
74 67 70
67 83 83
68 88 84
81 62 84
71 83 85
62 74 87
83 67 80
80 82 68
89 82 84
76 73 84
77 76 63
71 87 82
69 62 82
71 79 75
64 61 65
88 63 68
87 60 63
89 75 81
68 67 80
87 85 72
70 86 72
79 73 65
77 81 76
61 60 89
79 79 74
61 61 64
68 71 68
80 65 65
62 78 63
79 75 60
87 89 79
80 61 76
62 68 79
86 60 76
63 90 64
74 80 89
61 62 87
76 86 77
84 84 86
72 79 86
84 89 83
71 72 87
68 75 86
70 83 64
68 72 75
89 74 68
71 88 78
75 71 73
84 81 66
84 65 84
87 69 67
71 62 67
66 67 63
79 71 77
69 89 83
72 62 68
69 90 63
70 86 79
86 69 83
87 71 89
73 69 73
66 90 61
62 69 61
63 81 75
65 70 70
71 67 71
80 78 69
70 66 64
66 67 76
87 69 68
88 71 84
65 90 60
88 88 89
87 65 75
85 72 63
82 72 87
83 77 63
63 66 63
74 82 83
82 73 72
87 86 88
66 83 80
75 72 84
67 64 69
80 89 65
68 84 90
85 65 73
62 68 60
71 72 65
67 63 76
72 74 83
76 79 62
67 62 82
82 69 80
62 73 61
76 80 70
71 73 86
87 66 66
72 75 77
89 81 82
77 69 75
67 75 82
65 68 74
85 85 88
85 64 69
79 68 89
80 71 66
74 72 67
65 71 76
84 85 77
64 84 76
76 66 77
90 78 61
86 75 82
88 70 83
86 61 76
80 62 77
64 82 62
85 77 64
73 90 85
90 62 64
84 82 77
86 88 69
82 63 62
60 65 72
75 78 64
80 86 78
89 72 87
90 87 80
78 61 64
86 88 72
89 89 62
68 84 82
88 72 78
69 70 79
79 89 82
67 64 76
65 61 75
83 88 86
69 74 76
74 87 86
85 75 76
66 70 78
67 74 85
75 79 63
69 71 88
66 71 71
60 69 73
75 65 84
67 65 81
62 78 89
82 82 61
81 72 79
75 61 89
79 61 86
74 75 83
76 67 84
78 61 62
87 63 65
63 70 64
85 80 72
68 79 60
74 63 68
84 83 63
61 75 64
61 87 64
72 69 66
86 83 64
81 70 61
60 76 84
86 90 74
68 90 60
88 74 77
71 77 89
87 87 83
71 60 86
61 81 75
63 89 87
62 65 65
88 65 90
80 87 89
60 86 85
90 74 90
71 81 85
90 87 65
81 86 63
86 81 84
62 90 61
68 70 75
61 74 82
76 61 73
61 81 61
76 63 83
72 69 65
63 83 84
72 65 88
83 68 76
67 88 84
69 60 87
62 85 89
66 64 67
65 89 85
79 90 72
88 63 66
67 66 81
81 90 60
86 88 63
74 89 70
67 70 70
78 75 71
79 85 67
79 67 72
77 69 69
88 80 79
87 80 87
70 78 64
70 82 88
77 67 72
84 67 75
81 64 79
61 89 62
84 78 73
87 63 79
72 66 87
62 84 65
87 75 88
89 89 89
83 64 66
71 68 61
69 81 61
83 60 80
90 61 82
62 74 81
60 71 85
82 82 78
89 73 60
85 70 89
82 67 60
68 89 84
80 63 80
83 88 81
70 90 80
65 76 88
88 81 79
78 89 79
62 62 60
87 70 84
70 81 71
68 65 79
90 69 85
85 71 89
72 68 87
72 64 67
85 67 67
66 87 80
77 71 86
85 79 88
69 89 79
78 77 73
62 73 70
70 82 82
74 84 88
64 61 66
80 63 61
64 78 80
87 65 77
60 80 82
84 63 68
71 65 63
84 68 77
84 88 65
80 83 79
64 82 77
82 62 72
81 66 87
79 67 85
88 82 86
80 70 66
75 68 77
86 63 80
70 86 81
76 82 74
80 80 77
60 87 76
89 61 62
71 90 77
63 65 86
71 74 68
87 88 81
71 62 63
80 89 68
61 77 86
81 73 88
76 64 72
82 90 70
79 63 61
87 69 88
70 84 86
85 74 63
76 69 67
77 67 90
89 61 72
77 85 90
84 65 61
80 72 81
74 73 87
80 70 74
71 77 63
66 87 90
76 66 78
82 80 89
67 85 65
81 83 62
82 81 62
74 83 78
82 82 64
84 76 87
82 64 89
90 65 70
67 87 79
70 67 66
87 77 86
61 85 87
64 79 69
71 77 62
